BalanceWeight,RetentionWeight,RiskyRevolverPenalty,SafeLowRevolvePenalty,Objective,ALL_THREE,BEST_ONLY,BEST_LTV,LTV_ONLY,PROFIT_ONLY,LTV_PROFIT,Overlap_BEST087,Overlap_LTV079,Overlap_Profit077
0.1,0.15,0.0,0.1,0.7669449293329286,0.9113739604240282,0.8459834669769106,0.8538494173478656,0.6797339707078927,0.6258645486268175,0.6632458058159095,,,
0.1,0.15,0.05,0.1,0.7656431469976341,0.9115485943834851,0.8439294386969752,0.8555707470481381,0.6886265101708706,0.6156567844911147,0.6728572347993271,,,
0.1,0.15,0.1,0.1,0.7655954129722686,0.9112784878556817,0.8411217920171827,0.8568031634877384,0.6965533213995118,0.6033251347334411,0.6816437987663222,,,
0.15,0.05,0.05,0.0,0.7655170045001812,0.91156260549253,0.8444448901020226,0.8518259141689374,0.6967249088689992,0.6020238836833602,0.6809577590322838,,,
0.1,0.1,0.15,0.0,0.7653040787391392,0.910442312491476,0.8303457123679971,0.8579283855585831,0.7231819438567941,0.5628197408723747,0.6994677678442682,,,
0.15,0.05,0.0,0.0,0.7652199650881774,0.9114366695431159,0.8465893384642922,0.850176642143506,0.6881115622457282,0.6143651179321487,0.6715347313946968,,,
0.1,0.15,0.05,0.15,0.764978490975354,0.9111185173640816,0.8468239513155539,0.8518406721162579,0.6716458283157039,0.633619050726979,0.6678839599455259,,,
0.15,0.05,0.15,0.05,0.7645244464990847,0.9106704464695307,0.8417503620905674,0.8506298165304268,0.6966322017900732,0.5946225105008077,0.6940830893214772,,,
0.1,0.15,0.15,0.15,0.7641108111260091,0.9108036628603311,0.8414619114014676,0.8546307302452316,0.6885199568755085,0.6097164400646203,0.6857470708964191,,,
0.15,0.05,0.0,0.15,0.764098239843001,0.9077788229372017,0.8529717444066583,0.8344659940962761,0.6310641391375101,0.6653324239095315,0.6534738304894656,,,
0.1,0.15,0.1,0.15,0.7638839798127184,0.9111821525509887,0.844505170932522,0.8534937951861944,0.680569135069162,0.6227665867528271,0.6772481201634222,,,
0.15,0.05,0.1,0.05,0.7624036211995107,0.9111306580621165,0.8449409804904243,0.8495818183469573,0.6890747729861676,0.6101822442649435,0.6858668241608588,,,
0.15,0.05,0.0,0.05,0.7623954554576275,0.91064105540884,0.8490734854125649,0.8455295944595822,0.671130197721725,0.6337378455573506,0.6667698761515661,,,
0.1,0.1,0.1,0.0,0.7622612573303506,0.9116659471080528,0.8347191183103633,0.8576872334241599,0.7172087135882832,0.5803556827140549,0.692326046302972,,,
0.15,0.05,0.05,0.05,0.7618710802123583,0.9111221399541257,0.8473737565777699,0.8480082960944596,0.6804963213995118,0.6231707670436187,0.6767038151085476,,,
0.15,0.05,0.0,0.1,0.7618503564748673,0.9094171677143389,0.8511640637193485,0.8401673683015441,0.6522876590724166,0.6506347069466882,0.6608144314667949,,,
0.15,0.05,0.05,0.15,0.7611238186601476,0.9089694016737958,0.8518787309826382,0.8377117347865577,0.6423342937347437,0.65804461453958,0.6645870143395016,,,
0.15,0.05,0.15,0.1,0.7608182676129651,0.9105174214865787,0.8451564431716485,0.8471162257039055,0.6804085874694874,0.6168734558966075,0.6897987221020588,,,
